Title,URL,"Image URL","Casino Count","Provider Rank",Founded,Website,Licenses,"Total Games","Video Slots","Card games","Roulette Games","Dice Games","Scratch tickets","Other types",Countries
Evoplay,https://slotcatalog.com/en/soft/Evoplay,https://slotcatalog.com/userfiles/image/brand/Evoplay-Entertainment.jpg,32,1,2017,http://evoplay.games/games/,"ISO Certified, MGA, ONJ Romania, bmm testlabs",239,163,11,3,3,6,53,"Argentina; Australia; Austria; Azerbaijan; Bangladesh; Belgium; Brazil; Bulgaria; Canada; Canada (Ontario); Chile; China; Czech Republic; Denmark; Estonia; Finland; Germany; Greece; Hungary; India; Indonesia; Ireland; Isle of Man; Italy; Japan; Kazakhstan; Korea, Republic of; Latvia; Lithuania; Malaysia; Malta; Mexico; Netherlands; New Zealand; Norway; Peru; Philippines; Poland; Portugal; Romania; Slovakia; South Africa; Spain; Sweden; Switzerland; Thailand; Turkey; Ukraine; United Kingdom; Uzbekistan; Viet Nam"
Playtech,https://slotcatalog.com/en/soft/Playtech,https://slotcatalog.com/userfiles/image/brand/Playtech.jpg,35,2,1999,http://www.playtechhorizon.com/optimised-casino?cat=Slots,N/A,704,450,40,33,3,14,21,"Argentina; Australia; Austria; Azerbaijan; Bangladesh; Belgium; Brazil; Bulgaria; Canada; Canada (Ontario); Chile; China; Czech Republic; Denmark; Estonia; Finland; Germany; Greece; Hungary; India; Indonesia; Ireland; Isle of Man; Italy; Japan; Kazakhstan; Korea, Republic of; Latvia; Lithuania; Malaysia; Malta; Mexico; Netherlands; New Zealand; Norway; Peru; Philippines; Poland; Portugal; Romania; Slovakia; South Africa; Spain; Sweden; Switzerland; Thailand; Turkey; Ukraine; United Kingdom; US New Jersey; Uzbekistan; Viet Nam"
NeoGames,https://slotcatalog.com/en/soft/NeoGames,https://slotcatalog.com/userfiles/image/brand/NeoGames.jpg,24,3,2005,http://www.neogames.com/games/,N/A,125,80,3,N/A,N/A,13,28,"Argentina; Australia; Austria; Azerbaijan; Bangladesh; Belgium; Brazil; Bulgaria; Canada; Canada (Ontario); Chile; China; Colombia; Czech Republic; Denmark; Estonia; Finland; Greece; Hungary; India; Indonesia; Ireland; Isle of Man; Italy; Japan; Kazakhstan; Korea, Republic of; Latvia; Lithuania; Malaysia; Malta; Mexico; Netherlands; New Zealand; Norway; Peru; Philippines; Poland; Portugal; Romania; Slovakia; South Africa; Spain; Sweden; Switzerland; Thailand; Turkey; Ukraine; United Kingdom; Uzbekistan; Viet Nam"
"Play'n Go",https://slotcatalog.com/en/soft/Playn-Go,https://slotcatalog.com/userfiles/image/brand/Playn-Go.jpg,34,4,1997,http://www.playngo.com/,N/A,388,353,15,3,N/A,1,9,"Argentina; Australia; Austria; Azerbaijan; Bangladesh; Belgium; Brazil; Bulgaria; Canada; Canada (Ontario); Chile; China; Colombia; Czech Republic; Denmark; Estonia; Finland; Germany; Greece; Hungary; India; Indonesia; Ireland; Isle of Man; Italy; Japan; Kazakhstan; Korea, Republic of; Latvia; Lithuania; Malaysia; Malta; Mexico; Netherlands; New Zealand; Norway; Peru; Philippines; Poland; Portugal; Romania; Slovakia; South Africa; Spain; Sweden; Switzerland; Thailand; Turkey; Ukraine; United Kingdom; US New Jersey; Uzbekistan; Viet Nam"
"Games Global",https://slotcatalog.com/en/soft/Games-Global,https://slotcatalog.com/userfiles/image/brand/Games-Global.jpg,33,5,1994,https://gamesglobal.com/,N/A,566,413,63,12,3,28,28,"Argentina; Australia; Austria; Azerbaijan; Bangladesh; Belgium; Brazil; Bulgaria; Canada; Canada (Ontario); Chile; China; Colombia; Czech Republic; Denmark; Estonia; Finland; Germany; Greece; Hungary; India; Indonesia; Ireland; Isle of Man; Italy; Japan; Kazakhstan; Korea, Republic of; Latvia; Lithuania; Malaysia; Malta; Mexico; Netherlands; New Zealand; Norway; Peru; Philippines; Poland; Portugal; Romania; Slovakia; South Africa; Spain; Sweden; Switzerland; Thailand; Turkey; Ukraine; United Kingdom; US New Jersey; Uzbekistan; Viet Nam"
Betsoft,https://slotcatalog.com/en/soft/Betsoft,https://slotcatalog.com/userfiles/image/brand/Betsoft.jpg,38,6,2006,http://www.betsoft.com,N/A,279,198,48,5,1,1,7,"Argentina; Australia; Austria; Azerbaijan; Bangladesh; Belgium; Brazil; Bulgaria; Canada; Canada (Ontario); Chile; China; Colombia; Czech Republic; Denmark; Estonia; Finland; Germany; Greece; Hungary; India; Indonesia; Ireland; Isle of Man; Italy; Japan; Kazakhstan; Korea, Republic of; Latvia; Lithuania; Malaysia; Malta; Mexico; Netherlands; New Zealand; Norway; Peru; Philippines; Poland; Portugal; Romania; Slovakia; South Africa; Spain; Sweden; Switzerland; Thailand; Turkey; Ukraine; United Kingdom; US New Jersey; Uzbekistan; Viet Nam"
"Pragmatic Play",https://slotcatalog.com/en/soft/Pragmatic-Play,https://slotcatalog.com/userfiles/image/brand/Pragmatic-Play.jpg,39,7,2015,http://pragmaticplay.com/games/,N/A,629,532,11,6,N/A,7,12,"Argentina; Australia; Austria; Azerbaijan; Bangladesh; Belgium; Brazil; Bulgaria; Canada; Canada (Ontario); Chile; China; Colombia; Czech Republic; Denmark; Estonia; Finland; Germany; Greece; Hungary; India; Indonesia; Ireland; Isle of Man; Italy; Japan; Kazakhstan; Korea, Republic of; Latvia; Lithuania; Malaysia; Malta; Mexico; Netherlands; New Zealand; Norway; Peru; Philippines; Poland; Portugal; Romania; Slovakia; South Africa; Spain; Sweden; Switzerland; Thailand; Turkey; Ukraine; United Kingdom; US New Jersey; Uzbekistan; Viet Nam"
Octoplay,https://slotcatalog.com/en/soft/Octoplay,https://slotcatalog.com/userfiles/image/brand/Octoplay.jpg,5,8,2022,https://www.octoplay.com/,"Malta Gaming Authority, Romanian Gambling License",60,53,N/A,N/A,N/A,N/A,7,"Argentina; Australia; Austria; Azerbaijan; Bangladesh; Belgium; Brazil; Canada; Canada (Ontario); Chile; China; Czech Republic; Denmark; Finland; Greece; Hungary; India; Indonesia; Ireland; Italy; Japan; Kazakhstan; Korea, Republic of; Malaysia; Malta; Mexico; Netherlands; New Zealand; Norway; Peru; Philippines; Poland; Portugal; Romania; Slovakia; South Africa; Spain; Sweden; Switzerland; Thailand; Turkey; Ukraine; United Kingdom; Uzbekistan; Viet Nam"
BGAMING,https://slotcatalog.com/en/soft/BGAMING,https://slotcatalog.com/userfiles/image/brand/BGAMING.jpg,34,9,2012,http://bgaming.com/games.html,N/A,208,160,15,3,4,10,16,"Argentina; Australia; Austria; Azerbaijan; Bangladesh; Belgium; Brazil; Bulgaria; Canada; Canada (Ontario); Chile; China; Czech Republic; Denmark; Estonia; Finland; Greece; Hungary; India; Indonesia; Ireland; Isle of Man; Italy; Japan; Kazakhstan; Korea, Republic of; Latvia; Lithuania; Malaysia; Malta; Mexico; Netherlands; New Zealand; Norway; Peru; Philippines; Poland; Portugal; Romania; Slovakia; South Africa; Spain; Sweden; Switzerland; Thailand; Turkey; Ukraine; United Kingdom; US New Jersey; Uzbekistan; Viet Nam"
"Evolution Gaming",https://slotcatalog.com/en/soft/Evolution-Gaming,https://slotcatalog.com/userfiles/image/brand/Evolution-Gaming.jpg,37,10,2006,https://www.evolutiongaming.com/our-games,N/A,195,4,3,3,N/A,N/A,2,"Argentina; Australia; Austria; Azerbaijan; Bangladesh; Belgium; Brazil; Bulgaria; Canada; Canada (Ontario); Chile; China; Czech Republic; Denmark; Estonia; Finland; Germany; Greece; Hungary; India; Indonesia; Ireland; Isle of Man; Italy; Japan; Kazakhstan; Korea, Republic of; Latvia; Lithuania; Malaysia; Malta; Mexico; Netherlands; New Zealand; Norway; Peru; Philippines; Poland; Portugal; Romania; Slovakia; South Africa; Spain; Sweden; Switzerland; Thailand; Turkey; Ukraine; United Kingdom; US New Jersey; Uzbekistan; Viet Nam"
